SensorNo,SensorSelfNo,Model,MeasuringDate,Temp,Measurement,Deviation,Unit,StrainFre,ComFre,Type,┤ж└э║єx,┤ж└э║єy,╒ц╩╡╬╗╥╞
28F615065442C450,CX2-8m,JC-CX-30,2022/6/2 14:11,19.1,3.07,4,бл,643.5,838.3,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/2 12:11,19.1,3.07,4,бл,643.6,838.1,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/2 8:10,19.1,3.07,4,бл,643.7,838,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/2 6:09,19.1,3.07,4,бл,643.4,837.8,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/2 4:09,19.1,3.07,4,бл,644.6,838.6,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/2 2:10,19.1,3.07,4,бл,644.4,838.9,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/2 0:11,19.1,3.07,4,бл,643.1,838.3,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 22:10,19.1,3.08,4,бл,645.3,838.4,9,80.13061428,-335.8964957,345.3221267
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 20:11,19.1,3.07,4,бл,644.2,837.8,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 18:07,19.2,3.07,4,бл,644.3,837.5,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 14:09,19.1,3.07,4,бл,643.5,837.5,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 12:08,19.1,3.07,4,бл,644.6,838.5,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 10:08,19.1,3.06,4,бл,642.6,838.1,9,120.3283254,-335.8964957,356.7987692
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 8:09,19.1,3.07,4,бл,643.8,838.3,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 6:10,19.2,3.07,4,бл,643.2,838.1,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 4:09,19.1,3.07,4,бл,643.6,838.1,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 2:09,19.1,3.07,4,бл,642.9,838.2,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/6/1 0:11,19.1,3.07,4,бл,643.4,838.7,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/5/31 22:08,19.1,3.07,4,бл,643,838.2,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/5/31 20:35,19.1,3.07,4,бл,644.2,838.2,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/5/31 16:09,19.1,3.07,4,бл,643.2,838.5,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/5/31 14:11,19.1,3.07,4,бл,644.5,838.6,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/5/31 12:06,19.2,3.07,4,бл,644.6,838.5,9,100.2150554,-335.8964957,350.5274784
28F615065442C450,CX2-8m,JC-CX-30,2022/5/31 8:10,19.1,3.07,4,бл,644.2,837.9,9,100.2150554,-335.8964957,350.5274784
